"$      40,000","$         12,000",1,15.254,"$        3,000","$    2,550",JP7C Properties,Born Ivory James,Kay Blanford,$         300,Born Ta Be Famous,$            150,Victory Farms
"$           8,000",2,15.341,"$        2,000","$    1,700",Deanna Mixon,Slick Lil Amigo,Sabra Oquinn,$          200,Slick By Design,$            100,Charlie Cole & Jason Smith,
"$           5,200",3,15.355,"$        1,300","$    1,105",Mark & Linda Jarvis,Our First Goodbye,Marcie Wilson,$         130,The Goodbye Lane,$              65,Mark & Linda Jarvis,
"$           4,000",4,15.361,"$        1,000",$        850,Jeff & Buffy Walchli,Rock O Blazin Fame,Buffy Walchli,$          100,Blazin Jetolena,$              50,Scott Martin,
"$           2,800",5,15.380,$           700,$       595,Cheryl or Daneil Murray,Blazin Ruby Rocket,Sheryl Murray,$            70,Blazin Jetolena,$              35,Susan Rist,
"$           2,400",6,15.383,$           600,$        510,Kelsey Hayden,Buhbye,Kelsey Hayden,$            60,The Goodbye Lane,$              30,Dawson Seeley,
"$           2,000",7,15.530,$           500,$       425,Cole & Marcie Wilson,CM Goodbye Hollywood,Marcie Wilson,$            50,The Goodbye Lane,$              25,Cole & Marcie Wilson,
"$           1,600",7,15.530,$           500,$        425,Bill & Cheryl Kennedy,Papagaio,Andre Coelho,$            50,Tres Seis,$              25,Bill & Cheryl Kennedy,
"$           1,200",9,15.531,$           400,$       255,Cayla Small,Slick N Black,Cayla Small,$            40,Slick By Design,$              20,Jane &/or Ryan Melby,
$               800,10,15.614,$           300,$       170,Kimi Nichols,KN Rumor Has It,Kimi Nichols,$            30,Born Ta Be Famous,$              15,Kimi Ann Nichols,
$               800,10,15.614,$           300,$        170,Jordon Briggs,One First Class Lady,Jordon Briggs,$            30,Blazin Jetolena,$              15,Busby Quarterhorse LLC,
"$      40,000","$         12,000",1,15.780,"$        3,000","$    2,550",Scamper Cole,Not A Tres Of Fear,Pete Oen,$         300,Tres Seis,$           150,S-Quarter K LLC
"$           8,000",2,15.786,"$       2,000","$    1,700",Morris Polluck,Ima Slick Bug,Will Lear,$          200,Slick By Design,$           100,Wayne Kerr,
"$           5,200",3,15.791,"$        1,300","$    1,105",TK and Lainee Sampsom,Paid To Hot Rod,Lainee Sampson,$         130,Irish pay,$              65,John P and Elisabeth Hollmann,
"$           4,000",4,15.793,"$       1,000",$        850,Jana Deck,Ms Trucoseix,Pete Oen,$         100,The Goodbye Lane,$              50,Guys Rodrigues Peixoto Jr,
"$           4,000",4,15.793,"$        1,000",$        850,Greg Or Lori Shearer,SX Smooth Drombouie,Lori Shearer,$         100,A Smooth Guy,$              50,Gregory L or Lori L Shearer,
"$           4,000",4,15.793,"$        1,000",$        850,Victory Farms,VF Chasin Cans,Kelsey Lutjan,$         100,Eddie Stinson,$              50,Victory Farms,
"$           2,000",7,15.816,$           500,$       425,Bizzco Enterprises,Sheza Smokin Lane,Courtney Cole,$            50,The Goodbye Lane,$              25,Meeks Quarterhorses,
"$           1,600",8,15.825,$           400,$        340,Rachel Tiedman,Shez A Blazin Bay,Rachel Tiedman,$            40,Blazin Jetolena,$              20,Lon Brest,
"$           1,200",9,15.833,$           300,$        255,Jeff Varner,VQ Check This Jet,Jeff Varner,$            30,Blazin Jetolena,$              15,Jeffery A Varner,
$               800,10,15.860,$           200,$        170,Susan Hadley,Shes Specially Smooth,Susan Hadley,$            20,A Smooth Guy,$              10,Sherman and Susan Hadley,
"$      40,000","$         12,000",1,16.265,"$       3,000","$    2,550",Busby Quarterhorse LLC,Sway Cool,Sue Smith,$         300,Blazin Jetolena,$            150,Bob Burt
"$           8,000",2,16.293,"$        2,000","$    1,700",Casey and Linda Hunter,Paid Prescription,Linda Hunter,$          200,Irish Pay,$           100,R Stoyan or Chelsea R Lucey,
"$           5,200",3,16.299,"$        1,300","$    1,105",Maesa Kummer,A Smooth Bunny,Maesa Kummer,$          130,A Smooth Guy,$              65,Tracey or Marlie Trask,
"$           4,000",4,16.329,"$        1,000",$       850,Kortney Kizer,Eddies Midnight Girl,Todd Hayden,$          100,Eddie Stinson,$              50,Maddilyne(Maddie) Devereaux,
"$           2,800",5,16.370,$           700,$        595,JP7C  Properties,Paint Your Blessings,Kay Blanford,$            70,PYC Paint Your Wagon,$              35,JP7C Properties,
"$           2,400",6,16.418,$           600,$        510,Brian and Shauna Felter,KYS Goodbye Fame,Shauna Felter,$            60,The Goodbye Lane,$              30,Dawson Seeley,
"$           2,000",7,16.466,$           500,$        425,Suzanne Moseley,Bugs By Design,Ashley Schafer,$            50,Slick by Design,$              25,Pine Island Ranch,
"$           1,600",8,16.494,$           400,$       340,Mandy Raltson,Mr Dashin Bug,Tricia Aldridge,$            40,Dashin Dynamo,$              20,,
"$           1,200",9,16.497,$           300,$        255,Webb Ranch,Famous Wildthang,Taylor Hildreth,$            30,Corona Cartel,$              15,Kailee Webb,
$               800,10,16.522,$           200,$       170,Okelberry Livestock,RSR Speed Com Manny,Katelyn Carter,$            20,PC Redwood Manny,$              10,Swan TK Jr,
"$      40,000","$         12,000",1,16.774,"$       3,000","$    2,550",Monica McClung,Dynamic Lady Duo,Alyssa Bigon,$          300,Dashin Dynamo,$           150,Monica McClung
"$           8,000",2,16.787,"$        2,000","$    1,700",Gary Jolley,Fueling The Talent,Michelle Myers,$         200,Prime Talent,$            100,Copper Spring Ranch,
"$           5,200",3,16.970,"$        1,300","$    1,105",Shawna Letcher,Doin What She Needs,Shawna Letcher,$          130,A Smooth Guy,$              65,Luther Lange,
"$           4,000",4,17.102,"$        1,000",$        850,Tracy Milne,Streakin Stinson,Tracy Milne,$         100,Eddie Stinson,$              50,Kapp Investment Company LLC,
"$           2,800",5,17.110,$           700,$        595,Cheryl or Daniel Murray,Blazin High Octane,Cheryl Murray,$            70,Blazin Jetolena,$              35,Cheryl or Daniel Murray,
"$           2,400",6,17.116,$           600,$        510,Charlie Cote & Jason Martin,HP Ima Slick Guy,Ashley Schafer,$            60,Slick By Design,$              30,Wayne Kerr,
"$           2,000",7,17.148,$           500,$        425,Shawna Letcher,One Smooth Savage,Shawna Letcher,$            50,A Smooth Guy,$              25,Freda J Johnson,
"$           1,600",8,17.212,$           400,$        340,Davi &/or Willie Watterson,Famously Smooth,Davi Watterson,$            40,A Smooth Guy,$              20,Thomas & Lainee Sampson,
"$           1,200",9,17.242,$           300,$       255,Stefani Barnett,Aces Bug Leo,Stefani Barnett,$            30,Shawne Bug Leo,$              15,Jerry D Smith,
$               800,10,17.569,$           200,$        170,Van & Jake Bass,Speedy Dot Com,Timber Cote,$            20,PC Redwood Manny,$              10,Lance Robinson & Max Anderson,
